iter	Logloss
0	0.6818414732
1	0.6712011884
2	0.6605810121
3	0.6504139272
4	0.6419217605
5	0.6336166618
6	0.6254326872
7	0.6190150061
8	0.6116225368
9	0.6044856227
10	0.5977634755
11	0.5918730507
12	0.5858510335
13	0.5805226999
14	0.575786561
15	0.5710940102
16	0.5661726959
17	0.5618438129
18	0.5576057138
19	0.5538052699
20	0.549781681
21	0.5460477134
22	0.5426930272
23	0.5397880613
24	0.5371315535
25	0.5344029508
26	0.5327648784
27	0.5299465564
28	0.5276114885
29	0.5255293735
30	0.5235767808
31	0.5211091744
32	0.5187703214
33	0.5167162991
34	0.5146029568
35	0.512618782
36	0.5107313053
37	0.5090731244
38	0.5075697788
39	0.5062553938
40	0.5048522949
41	0.503415189
42	0.5019779649
43	0.5006340086
44	0.4996695703
45	0.4985124455
46	0.4973918708
47	0.4962354557
48	0.4951128405
49	0.4940643606
50	0.4930071572
51	0.4921096979
52	0.4911862159
53	0.4903106689
54	0.489501066
55	0.4886186585
56	0.4875990993
57	0.4869208521
58	0.4862260449
59	0.4853649879
60	0.4846316789
61	0.4836812278
62	0.4830897132
63	0.4822832448
64	0.4817276888
65	0.481171778
66	0.4803898538
67	0.4796813847
68	0.4790885097
69	0.4783156639
70	0.4777900045
71	0.4770479424
72	0.476378951
73	0.4758346321
74	0.4752909047
75	0.4745992616
76	0.4740883288
77	0.4735435072
78	0.4728226477
79	0.4725003797
80	0.4717513683
81	0.4712195286
82	0.4706134648
83	0.4699595252
84	0.4694593563
85	0.4689588621
86	0.4684593733
87	0.4683289639
88	0.4679071885
89	0.467383954
90	0.4669628883
91	0.4666179687
92	0.4661472823
93	0.4656629932
94	0.465197955
95	0.4647603885
96	0.4644001806
97	0.4641213232
98	0.4638518991
99	0.4633199115
100	0.463089078
101	0.4628112556
102	0.4623902787
103	0.4619644816
104	0.4615794337
105	0.4613093886
106	0.460973991
107	0.4604958823
108	0.4601883408
109	0.4599131503
110	0.4594937406
111	0.4590316595
112	0.4585858722
113	0.4583000952
114	0.457960528
115	0.4577106801
116	0.4573390872
117	0.4569821025
118	0.4566941964
119	0.4563913271
120	0.4559917006
121	0.4555597823
122	0.4552770807
123	0.454916784
124	0.4546174633
125	0.4543432487
126	0.4540420059
127	0.4536557456
128	0.4533710923
129	0.4530198445
130	0.4528370051
131	0.4526645749
132	0.4522757715
133	0.4518287718
134	0.4516308511
135	0.4512891843
136	0.4509487596
137	0.4507160039
138	0.4503824397
139	0.4502144156
140	0.4499408219
141	0.4497647544
142	0.4495118311
143	0.4491610564
144	0.4488631256
145	0.4484704188
146	0.4483392701
147	0.4480000577
148	0.4477023339
149	0.447447311
150	0.4472854969
151	0.4469318833
152	0.4467067571
153	0.4464936072
154	0.4461241729
155	0.4458828712
156	0.4456385235
157	0.4453185325
158	0.4451770043
159	0.4449653921
160	0.4446544204
161	0.4442801365
162	0.4440665134
163	0.4437938365
164	0.4435833184
165	0.4434334215
166	0.4431962302
167	0.4428685506
168	0.4426495752
169	0.4422509245
170	0.4419640829
171	0.4416091091
172	0.4413926472
173	0.4411283981
174	0.4407377021
175	0.4404233592
176	0.4402097362
177	0.4399776311
178	0.4396653878
179	0.4392898914
180	0.4390559233
181	0.4387464893
182	0.4385377159
183	0.4383700763
184	0.4379782862
185	0.4378067726
186	0.4376113951
187	0.4374161949
188	0.4372345089
189	0.4371036855
190	0.4367852026
191	0.4365589231
192	0.4362275471
193	0.4360210212
194	0.4357783
195	0.435475756
196	0.4350578249
197	0.4348968683
198	0.4344260637
199	0.4342879953
200	0.4341397544
201	0.4338884575
202	0.4337654114
203	0.4335150016
204	0.4332561049
205	0.4330434282
206	0.4327148319
207	0.4324643039
208	0.4324244418
209	0.4320859096
210	0.4317748195
211	0.431540674
212	0.4312124031
213	0.4309166605
214	0.4306745603
215	0.4303801781
216	0.4302334748
217	0.4300496597
218	0.429906919
219	0.4297432715
220	0.4295154542
221	0.4292063159
222	0.4289127025
223	0.4287555014
224	0.4284817008
225	0.4282642335
226	0.427956071
227	0.4276538819
228	0.4274475334
229	0.4271328948
230	0.427132126
231	0.4269781187
232	0.4268218639
233	0.426549394
234	0.4262901129
235	0.4260866624
236	0.4259445723
237	0.4257297664
238	0.4256201456
239	0.4253961726
240	0.4251488383
241	0.4250275072
242	0.4246675358
243	0.4243712906
244	0.4242469137
245	0.4241148187
246	0.423978288
247	0.4237600223
248	0.4235291
249	0.4233103316
250	0.4233058368
251	0.4231089215
252	0.4229107051
253	0.42273999
254	0.422414617
255	0.422231275
256	0.4219328415
257	0.4218113626
258	0.4216085626
259	0.421465408
260	0.4211314297
261	0.4208189794
262	0.4205822612
263	0.4204140301
264	0.4200993915
265	0.4200005938
266	0.4197405142
267	0.4195105678
268	0.4193379306
269	0.4190871069
270	0.4187793288
271	0.4186170415
272	0.4184470953
273	0.4182570701
274	0.417862175
275	0.4176034853
276	0.4173730658
277	0.4172321881
278	0.4169829021
279	0.4168153807
280	0.4166044487
281	0.4163981889
282	0.4162699382
283	0.4161110516
284	0.4158394392
285	0.4156319966
286	0.4153810545
287	0.4151658642
288	0.4150020097
289	0.4147041676
290	0.4145279522
291	0.414294339
292	0.4142006571
293	0.4139468171
294	0.413835629
295	0.4135590782
296	0.4133449229
297	0.413035962
298	0.412740456
299	0.4125057487
300	0.4122754178
301	0.4120530121
302	0.411852637
303	0.411684672
304	0.4114813694
305	0.411250595
306	0.4110436846
307	0.4108387851
308	0.4105530377
309	0.4103241263
310	0.4101238103
311	0.4099365353
312	0.4097678606
313	0.4096131436
314	0.4094447646
315	0.4092842516
316	0.409032659
317	0.4088549059
318	0.4086222686
319	0.408461105
