iter	Passed	Remaining
0	138	138784
1	143	71448
2	147	48964
3	151	37620
4	154	30769
5	158	26189
6	161	22960
7	165	20529
8	169	18631
9	172	17101
10	176	15858
11	180	14836
12	183	13950
13	187	13195
14	191	12554
15	194	11986
16	198	11478
17	202	11031
18	205	10633
19	209	10289
20	213	9963
21	217	9665
22	221	9403
23	225	9163
24	228	8927
25	232	8706
26	236	8521
27	240	8339
28	244	8176
29	247	8010
30	251	7861
31	255	7728
32	258	7579
33	262	7454
34	266	7340
35	269	7226
36	273	7119
37	277	7015
38	280	6921
39	284	6826
40	287	6735
41	291	6650
42	295	6570
43	298	6496
44	302	6422
45	305	6329
46	308	6260
47	312	6200
48	316	6138
49	319	6077
50	323	6021
51	327	5967
52	330	5912
53	334	5860
54	338	5811
55	342	5766
56	346	5727
57	349	5683
58	354	5646
59	357	5605
60	361	5563
61	365	5524
62	368	5483
63	372	5440
64	375	5406
65	379	5369
66	383	5334
67	386	5299
68	390	5264
69	393	5231
70	397	5200
71	401	5171
72	404	5142
73	408	5112
74	412	5082
75	415	5054
76	419	5026
77	422	4999
78	426	4972
79	430	4947
80	433	4921
81	437	4896
82	441	4873
83	444	4848
84	448	4825
85	451	4801
86	455	4782
87	459	4760
88	463	4739
89	466	4717
90	470	4696
91	474	4679
92	478	4666
93	482	4647
94	485	4628
95	489	4612
96	493	4594
97	497	4575
98	500	4557
99	504	4538
100	507	4521
101	511	4503
102	515	4485
103	518	4468
104	522	4451
105	526	4436
106	529	4421
107	533	4406
108	537	4390
109	540	4374
110	544	4360
111	547	4344
112	550	4324
113	554	4312
114	558	4297
115	562	4283
116	565	4270
117	569	4259
118	572	4237
119	576	4224
120	579	4212
121	583	4201
122	587	4190
123	591	4179
124	595	4167
125	599	4155
126	602	4143
127	606	4131
128	608	4110
129	612	4097
130	616	4086
131	619	4074
132	623	4062
133	626	4050
134	630	4039
135	633	4026
136	637	4015
137	641	4005
138	660	4092
139	664	4084
140	668	4073
141	672	4064
142	676	4056
143	681	4048
144	685	4041
145	689	4034
146	693	4025
147	697	4015
148	701	4007
149	705	4000
150	710	3996
151	715	3990
152	719	3984
153	723	3977
154	728	3973
155	733	3967
156	737	3959
157	741	3954
158	746	3949
159	751	3944
160	755	3937
161	759	3931
162	765	3928
163	769	3923
164	774	3918
165	778	3910
166	782	3901
167	785	3891
168	789	3882
169	793	3872
170	797	3863
171	800	3853
172	804	3843
173	807	3834
174	811	3825
175	815	3815
176	818	3805
177	821	3795
178	825	3786
179	829	3777
180	832	3768
181	836	3759
182	840	3752
183	844	3746
184	849	3741
185	853	3735
186	857	3728
187	861	3722
188	866	3716
189	870	3711
190	874	3705
191	878	3696
192	882	3688
193	886	3681
194	889	3673
